Experiment,Train Score,Test Score
Normalized + Bias + Location,34.464458913839756,36.402696941155675
Normal,41.434749508046615,41.93479136286932
Normalized + Bias,41.434749508047204,41.93479136286997
Normalized,139.9727773931423,142.56050518340314
